,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
252,2021-08-13 15:00:00,29.444479775051693,52.08790077117925,65.11202549667742,29.444479775051693,29.444479775051693,29.167793657565326,29.167793657565326,29.167793657565326,29.167793657565326,29.167793657565326,29.167793657565326,0.0,0.0,0.0,58.612273432617016
253,2021-08-13 15:15:00,29.44437506705771,52.80010039194018,66.16808143973806,29.44437506705771,29.44437506705771,29.685844811746016,29.685844811746016,29.685844811746016,29.685844811746016,29.685844811746016,29.685844811746016,0.0,0.0,0.0,59.13021987880373
254,2021-08-13 15:30:00,29.444270359063726,50.10119214309555,63.0035423120043,29.444270359063726,29.444270359063726,27.270917058549248,27.270917058549248,27.270917058549248,27.270917058549248,27.270917058549248,27.270917058549248,0.0,0.0,0.0,56.715187417612974
255,2021-08-13 15:45:00,29.444165651069742,45.10423329282034,58.564592718846,29.444165651069742,29.444165651069742,22.651358148136598,22.651358148136598,22.651358148136598,22.651358148136598,22.651358148136598,22.651358148136598,0.0,0.0,0.0,52.09552379920634
256,2021-08-13 16:00:00,29.44406094307576,40.56399753282194,53.64142258041477,29.44406094307576,29.44406094307576,17.839179631682025,17.839179631682025,17.839179631682025,17.839179631682025,17.839179631682025,17.839179631682025,0.0,0.0,0.0,47.283240574757784
257,2021-08-13 16:15:00,29.443956235081778,37.897887026504655,50.95430188384638,29.443956235081778,29.443956235081778,14.814696260005332,14.814696260005332,14.814696260005332,14.814696260005332,14.814696260005332,14.814696260005332,0.0,0.0,0.0,44.25865249508711
258,2021-08-13 16:30:00,29.443851527087794,37.11357587896212,50.01360787144443,29.443851527087794,29.443851527087794,14.183248845828176,14.183248845828176,14.183248845828176,14.183248845828176,14.183248845828176,14.183248845828176,0.0,0.0,0.0,43.62710037291597
259,2021-08-13 16:45:00,29.44374681909381,37.31716359658643,50.80005863120492,29.44374681909381,29.44374681909381,14.787574299289972,14.787574299289972,14.787574299289972,14.787574299289972,14.787574299289972,14.787574299289972,0.0,0.0,0.0,44.23132111838378
260,2021-08-13 17:00:00,29.44364211109983,36.8415444255986,50.61373193899652,29.44364211109983,29.44364211109983,14.556241477430966,14.556241477430966,14.556241477430966,14.556241477430966,14.556241477430966,14.556241477430966,0.0,0.0,0.0,43.99988358853079
261,2021-08-13 17:15:00,29.44353740609386,34.37722481374504,47.94281633848196,29.44353740609386,29.44353740609386,11.961874659664197,11.961874659664197,11.961874659664197,11.961874659664197,11.961874659664197,11.961874659664197,0.0,0.0,0.0,41.40541206575806
262,2021-08-13 17:30:00,29.44343270108789,29.537619008423142,43.38750093594711,29.44343270108789,29.44343270108789,7.044388644551564,7.044388644551564,7.044388644551564,7.044388644551564,7.044388644551564,7.044388644551564,0.0,0.0,0.0,36.48782134563945
263,2021-08-13 17:45:00,29.443327996081923,23.827628304126026,37.51516433243348,29.443327996081923,29.443327996081923,1.319657753460844,1.319657753460844,1.319657753460844,1.319657753460844,1.319657753460844,1.319657753460844,0.0,0.0,0.0,30.762985749542768
264,2021-08-13 18:00:00,29.443223291075952,19.225122041570636,32.70707195797103,29.443223291075952,29.443223291075952,-3.2715151397568127,-3.2715151397568127,-3.2715151397568127,-3.2715151397568127,-3.2715151397568127,-3.2715151397568127,0.0,0.0,0.0,26.17170815131914
265,2021-08-13 18:15:00,29.443118586069982,16.8888729715622,30.514441513889267,29.443118586069982,29.443118586069982,-5.566169776618662,-5.566169776618662,-5.566169776618662,-5.566169776618662,-5.566169776618662,-5.566169776618662,0.0,0.0,0.0,23.87694880945132
266,2021-08-13 18:30:00,29.44301388106401,17.39205859103748,30.212345887095303,29.44301388106401,29.44301388106401,-5.718883778515105,-5.718883778515105,-5.718883778515105,-5.718883778515105,-5.718883778515105,-5.718883778515105,0.0,0.0,0.0,23.724130102548905
267,2021-08-13 18:45:00,29.442909176058045,17.899190481572067,31.71105284190324,29.442909176058045,29.442909176058045,-4.838982378183313,-4.838982378183313,-4.838982378183313,-4.838982378183313,-4.838982378183313,-4.838982378183313,0.0,0.0,0.0,24.60392679787473
268,2021-08-13 19:00:00,29.442804471052074,17.901870078281455,32.14839928051223,29.442804471052074,29.442804471052074,-4.146603045207556,-4.146603045207556,-4.146603045207556,-4.146603045207556,-4.146603045207556,-4.146603045207556,0.0,0.0,0.0,25.29620142584452
269,2021-08-13 19:15:00,29.442699766046104,18.518076623318017,31.38496179672252,29.442699766046104,29.442699766046104,-4.312499095210486,-4.312499095210486,-4.312499095210486,-4.312499095210486,-4.312499095210486,-4.312499095210486,0.0,0.0,0.0,25.13020067083562
270,2021-08-13 19:30:00,29.442595061040134,16.880998807219008,30.368356943027635,29.442595061040134,29.442595061040134,-5.356621227133272,-5.356621227133272,-5.356621227133272,-5.356621227133272,-5.356621227133272,-5.356621227133272,0.0,0.0,0.0,24.085973833906863
271,2021-08-13 19:45:00,29.442490356034167,15.85578658979962,29.17431873420464,29.442490356034167,29.442490356034167,-6.972988079666358,-6.972988079666358,-6.972988079666358,-6.972988079666358,-6.972988079666358,-6.972988079666358,0.0,0.0,0.0,22.46950227636781
272,2021-08-13 20:00:00,29.442385651028196,13.903629753769613,26.352843108918343,29.442385651028196,29.442385651028196,-8.864301858495315,-8.864301858495315,-8.864301858495315,-8.864301858495315,-8.864301858495315,-8.864301858495315,0.0,0.0,0.0,20.57808379253288
273,2021-08-13 20:15:00,29.442280946022226,11.59942986741416,25.295360557291485,29.442280946022226,29.442280946022226,-10.800241108242233,-10.800241108242233,-10.800241108242233,-10.800241108242233,-10.800241108242233,-10.800241108242233,0.0,0.0,0.0,18.642039837779993
274,2021-08-13 20:30:00,29.442176241016256,9.830248536364023,23.61933241996615,29.442176241016256,29.442176241016256,-12.471212124379505,-12.471212124379505,-12.471212124379505,-12.471212124379505,-12.471212124379505,-12.471212124379505,0.0,0.0,0.0,16.97096411663675
275,2021-08-13 20:45:00,29.44207153601029,8.895793468588206,22.997412285246508,29.44207153601029,29.44207153601029,-13.433039598759049,-13.433039598759049,-13.433039598759049,-13.433039598759049,-13.433039598759049,-13.433039598759049,0.0,0.0,0.0,16.00903193725124
276,2021-08-13 21:00:00,29.441966831004315,9.066670469985432,22.890138544258008,29.441966831004315,29.441966831004315,-13.326166097740069,-13.326166097740069,-13.326166097740069,-13.326166097740069,-13.326166097740069,-13.326166097740069,0.0,0.0,0.0,16.115800733264244
277,2021-08-13 21:15:00,29.445191797970566,9.88141999387167,24.027691146547685,29.445191797970566,29.445191797970566,-12.231788423433933,-12.231788423433933,-12.231788423433933,-12.231788423433933,-12.231788423433933,-12.231788423433933,0.0,0.0,0.0,17.213403374536632
278,2021-08-13 21:30:00,29.44841676493682,11.262866357620737,25.15342594321755,29.44841676493682,29.44841676493682,-10.818219957504326,-10.818219957504326,-10.818219957504326,-10.818219957504326,-10.818219957504326,-10.818219957504326,0.0,0.0,0.0,18.630196807432494
279,2021-08-13 21:45:00,29.451641731903074,12.402415223239538,26.324548803810014,29.451641731903074,29.451641731903074,-10.049469898245876,-10.049469898245876,-10.049469898245876,-10.049469898245876,-10.049469898245876,-10.049469898245876,0.0,0.0,0.0,19.4021718336572
280,2021-08-13 22:00:00,29.454866698869324,12.500751614005404,25.593314287980846,29.454866698869324,29.454866698869324,-10.588716559675182,-10.588716559675182,-10.588716559675182,-10.588716559675182,-10.588716559675182,-10.588716559675182,0.0,0.0,0.0,18.86615013919414
281,2021-08-13 22:15:00,29.458091665835575,10.350880875598643,23.874716579243476,29.458091665835575,29.458091665835575,-12.32051788711963,-12.32051788711963,-12.32051788711963,-12.32051788711963,-12.32051788711963,-12.32051788711963,0.0,0.0,0.0,17.137573778715947
282,2021-08-13 22:30:00,29.461316632801832,8.451626909019025,21.603296886066598,29.461316632801832,29.461316632801832,-14.374090181305755,-14.374090181305755,-14.374090181305755,-14.374090181305755,-14.374090181305755,-14.374090181305755,0.0,0.0,0.0,15.087226451496077
283,2021-08-13 22:45:00,29.464541599768083,7.300251646533233,20.247431136870073,29.464541599768083,29.464541599768083,-15.670529294222327,-15.670529294222327,-15.670529294222327,-15.670529294222327,-15.670529294222327,-15.670529294222327,0.0,0.0,0.0,13.794012305545756
284,2021-08-13 23:00:00,29.467766566734337,7.367304254068557,20.52958416451155,29.467766566734337,29.467766566734337,-15.621431699910232,-15.621431699910232,-15.621431699910232,-15.621431699910232,-15.621431699910232,-15.621431699910232,0.0,0.0,0.0,13.846334866824105
285,2021-08-13 23:15:00,29.470991533700587,8.016555655341909,21.52149329478758,29.470991533700587,29.470991533700587,-14.488860971502232,-14.488860971502232,-14.488860971502232,-14.488860971502232,-14.488860971502232,-14.488860971502232,0.0,0.0,0.0,14.982130562198355
286,2021-08-13 23:30:00,29.47421650066684,9.670711140126716,23.164121620255802,29.47421650066684,29.47421650066684,-13.166614567117222,-13.166614567117222,-13.166614567117222,-13.166614567117222,-13.166614567117222,-13.166614567117222,0.0,0.0,0.0,16.30760193354962
287,2021-08-13 23:45:00,29.477441467633096,10.122814673032781,23.659436848580057,29.477441467633096,29.477441467633096,-12.560810512372507,-12.560810512372507,-12.560810512372507,-12.560810512372507,-12.560810512372507,-12.560810512372507,0.0,0.0,0.0,16.916630955260587
288,2021-08-14 00:00:00,29.480666434599346,10.010433473496521,23.225423637470186,29.480666434599346,29.480666434599346,-13.0150957088375,-13.0150957088375,-13.0150957088375,-13.0150957088375,-13.0150957088375,-13.0150957088375,0.0,0.0,0.0,16.465570725761847
289,2021-08-14 00:15:00,29.483891401565597,8.592870152711386,22.032599360084753,29.483891401565597,29.483891401565597,-14.157573631240934,-14.157573631240934,-14.157573631240934,-14.157573631240934,-14.157573631240934,-14.157573631240934,0.0,0.0,0.0,15.326317770324662
290,2021-08-14 00:30:00,29.487116368531854,7.778302439744052,20.920275291510944,29.487116368531854,29.487116368531854,-15.222067234538455,-15.222067234538455,-15.222067234538455,-15.222067234538455,-15.222067234538455,-15.222067234538455,0.0,0.0,0.0,14.265049133993399
291,2021-08-14 00:45:00,29.490341335498105,7.2715717977620535,20.738836657285788,29.490341335498105,29.490341335498105,-15.573669359643429,-15.573669359643429,-15.573669359643429,-15.573669359643429,-15.573669359643429,-15.573669359643429,0.0,0.0,0.0,13.916671975854676
292,2021-08-14 01:00:00,29.500879268200467,7.837993227119894,21.146806533663423,29.500879268200467,29.500879268200467,-15.072994259735047,-15.072994259735047,-15.072994259735047,-15.072994259735047,-15.072994259735047,-15.072994259735047,0.0,0.0,0.0,14.42788500846542
293,2021-08-14 01:15:00,29.511417200902834,8.881257632005179,21.932681648262275,29.511417200902834,29.511417200902834,-14.077293365231657,-14.077293365231657,-14.077293365231657,-14.077293365231657,-14.077293365231657,-14.077293365231657,0.0,0.0,0.0,15.434123835671176
